Season,Day,Hour,Count
2011,Tue,17:00,3293
2011,Tue,18:00,2409
2011,Tue,19:00,1614
2011,Tue,20:00,1173
2011,Tue,21:00,1000
2011,Tue,22:00,683
2011,Tue,23:00,360
2011,Wed,0:00,202
2011,Wed,1:00,123
2011,Wed,2:00,65
2011,Wed,3:00,45
2011,Wed,4:00,29
2011,Wed,5:00,139
2011,Wed,6:00,572
2011,Wed,7:00,1685
2011,Wed,8:00,1857
2011,Wed,9:00,1495
2011,Wed,10:00,1289
2011,Wed,11:00,1933
2011,Wed,12:00,2292
2011,Wed,13:00,1923
2011,Wed,14:00,1681
2011,Wed,15:00,2019
2011,Wed,16:00,2742
2011,Wed,17:00,3325
2011,Wed,18:00,2582
2011,Wed,19:00,1800
2011,Wed,20:00,1464
2011,Wed,21:00,1083
2011,Wed,22:00,733
2011,Wed,23:00,432
2011,Thu,0:00,277
2011,Thu,1:00,150
2011,Thu,2:00,103
2011,Thu,3:00,53
2011,Thu,4:00,31
2011,Thu,5:00,148
2011,Thu,6:00,559
2011,Thu,7:00,1690
2011,Thu,8:00,1964
2011,Thu,9:00,1452
2011,Thu,10:00,1179
2011,Thu,11:00,1640
2011,Thu,12:00,2370
2011,Thu,13:00,1856
2011,Thu,14:00,1789
2011,Thu,15:00,1941
2011,Thu,16:00,2660
2011,Thu,17:00,3211
2011,Thu,18:00,2369
2011,Thu,19:00,1752
2011,Thu,20:00,1472
2011,Thu,21:00,1058
2011,Thu,22:00,756
2011,Thu,23:00,517
2011,Fri,0:00,296
2011,Fri,1:00,180
2011,Fri,2:00,136
2011,Fri,3:00,53
2011,Fri,4:00,49
2011,Fri,5:00,163
2011,Fri,6:00,513
2011,Fri,7:00,1719
2011,Fri,8:00,1828
2011,Fri,9:00,1358
2011,Fri,10:00,1291
2011,Fri,11:00,1900
2011,Fri,12:00,2447
2011,Fri,13:00,2203
2011,Fri,14:00,1992
2011,Fri,15:00,2262
2011,Fri,16:00,2762
2011,Fri,17:00,2802
2011,Fri,18:00,2069
2011,Fri,19:00,1622
2011,Fri,20:00,1250
2011,Fri,21:00,1073
2011,Fri,22:00,1001
2011,Fri,23:00,740
2011,Sat,0:00,515
2011,Sat,1:00,457
2011,Sat,2:00,374
2011,Sat,3:00,97
2011,Sat,4:00,68
2011,Sat,5:00,95
2011,Sat,6:00,144
2011,Sat,7:00,300
2011,Sat,8:00,609
2011,Sat,9:00,1032
2011,Sat,10:00,1684
2011,Sat,11:00,2284
2011,Sat,12:00,2740
2011,Sat,13:00,3017
2011,Sat,14:00,3089
2011,Sat,15:00,2923
2011,Sat,16:00,2682
2011,Sat,17:00,2779
2011,Sat,18:00,2432
2011,Sat,19:00,1875
2011,Sat,20:00,1520
2011,Sat,21:00,1379
2011,Sat,22:00,1212
2011,Sat,23:00,979
2011,Sun,0:00,785
2011,Sun,1:00,575
2011,Sun,2:00,537
2011,Sun,3:00,169
2011,Sun,4:00,73
2011,Sun,5:00,54
2011,Sun,6:00,161
2011,Sun,7:00,282
2011,Sun,8:00,517
2011,Sun,9:00,1021
2011,Sun,10:00,1585
2011,Sun,11:00,2283
2011,Sun,12:00,2532
2011,Sun,13:00,2523
2011,Sun,14:00,2440
2011,Sun,15:00,2652
2011,Sun,16:00,2710
2011,Sun,17:00,2234
2011,Sun,18:00,1960
2011,Sun,19:00,1650
2011,Sun,20:00,1202
2011,Sun,21:00,890
2011,Sun,22:00,582
2011,Sun,23:00,317
2012,Mon,0:00,283
2012,Mon,1:00,135
2012,Mon,2:00,108
2012,Mon,3:00,55
2012,Mon,4:00,66
2012,Mon,5:00,164
2012,Mon,6:00,717
2012,Mon,7:00,1880
2012,Mon,8:00,2213
2012,Mon,9:00,1599
2012,Mon,10:00,1651
2012,Mon,11:00,2210
2012,Mon,12:00,2620
2012,Mon,13:00,2434
2012,Mon,14:00,2125
2012,Mon,15:00,2247
2012,Mon,16:00,3174
2012,Mon,17:00,4131
2012,Mon,18:00,3125
2012,Mon,19:00,2207
2012,Mon,20:00,1878
2012,Mon,21:00,1277
2012,Mon,22:00,857
2012,Mon,23:00,484
2012,Tue,0:00,264
2012,Tue,1:00,148
2012,Tue,2:00,103
2012,Tue,3:00,43
2012,Tue,4:00,79
2012,Tue,5:00,199
2012,Tue,6:00,818
2012,Tue,7:00,1953
2012,Tue,8:00,2343
2012,Tue,9:00,1548
2012,Tue,10:00,1402
2012,Tue,11:00,1952
2012,Tue,12:00,2485
2012,Tue,13:00,2100
2012,Tue,14:00,1862
2012,Tue,15:00,2217
2012,Tue,16:00,3305
2012,Tue,17:00,4232
2012,Tue,18:00,3384
2012,Tue,19:00,2563
2012,Tue,20:00,1965
2012,Tue,21:00,1344
2012,Tue,22:00,949
2012,Tue,23:00,562
2012,Wed,0:00,304
2012,Wed,1:00,163
2012,Wed,2:00,97
2012,Wed,3:00,74
2012,Wed,4:00,92
2012,Wed,5:00,193
2012,Wed,6:00,846
2012,Wed,7:00,2070
2012,Wed,8:00,2426
2012,Wed,9:00,1729
2012,Wed,10:00,1342
2012,Wed,11:00,1972
2012,Wed,12:00,2610
2012,Wed,13:00,2141
2012,Wed,14:00,1959
2012,Wed,15:00,2141
2012,Wed,16:00,3105
2012,Wed,17:00,4184
2012,Wed,18:00,2964
2012,Wed,19:00,2217
2012,Wed,20:00,1714
2012,Wed,21:00,1337
2012,Wed,22:00,956
2012,Wed,23:00,560
2012,Thu,0:00,318
2012,Thu,1:00,158
2012,Thu,2:00,115
2012,Thu,3:00,70
2012,Thu,4:00,66
2012,Thu,5:00,202
2012,Thu,6:00,835
2012,Thu,7:00,1970
2012,Thu,8:00,2450
2012,Thu,9:00,1723
2012,Thu,10:00,1374
2012,Thu,11:00,1875
2012,Thu,12:00,2497
2012,Thu,13:00,2110
2012,Thu,14:00,1890
2012,Thu,15:00,2073
2012,Thu,16:00,3149
2012,Thu,17:00,3804
2012,Thu,18:00,2941
2012,Thu,19:00,2303
2012,Thu,20:00,1813
2012,Thu,21:00,1422
2012,Thu,22:00,970
2012,Thu,23:00,643
2012,Fri,0:00,433
